"Altitude [m]","Temperature [Kelvin]","Pressure [pascal]","Density [kg/m3]","Speed of sound [m/s]","Viscosity [Pa.s]"
9300,227.7,29395,0.449727,302.501,0.0000149418
9400,227.05,28956.7,0.444289,302.069,0.0000149058
9500,226.4,28523.6,0.438901,301.636,0.0000148696
9600,225.75,28095.8,0.433563,301.203,0.0000148335
9700,225.1,27673.2,0.428275,300.769,0.0000147973
9800,224.45,27255.8,0.423036,300.334,0.000014761
9900,223.8,26843.5,0.417847,299.899,0.0000147247
10000,223.15,26436.3,0.412707,299.463,0.0000146884
10100,222.5,26034,0.407615,299.027,0.000014652
10200,221.85,25636.8,0.402571,298.59,0.0000146156
10300,221.2,25244.5,0.397575,298.152,0.0000145792
10400,220.55,24857,0.392627,297.714,0.0000145426
10500,219.9,24474.4,0.387725,297.275,0.0000145061
10600,219.25,24096.5,0.382871,296.835,0.0000144695
10700,218.6,23723.4,0.378064,296.395,0.0000144328
10800,217.95,23355,0.373303,295.954,0.0000143962
10900,217.3,22991.2,0.368588,295.512,0.0000143594
11000,216.65,22632.1,0.363918,295.07,0.0000143226
11100,216.65,22278,0.358224,295.07,0.0000143226
11200,216.65,21929.4,0.35262,295.07,0.0000143226
11300,216.65,21586.3,0.347103,295.07,0.0000143226
11400,216.65,21248.6,0.341673,295.07,0.0000143226
11500,216.65,20916.2,0.336327,295.07,0.0000143226
11600,216.65,20589,0.331065,295.07,0.0000143226
11700,216.65,20266.8,0.325886,295.07,0.0000143226
11800,216.65,19949.8,0.320787,295.07,0.0000143226
11900,216.65,19637.6,0.315768,295.07,0.0000143226
12000,216.65,19330.4,0.310828,295.07,0.0000143226
12100,216.65,19028,0.305965,295.07,0.0000143226
12200,216.65,18730.3,0.301178,295.07,0.0000143226
12300,216.65,18437.2,0.296466,295.07,0.0000143226
12400,216.65,18148.8,0.291828,295.07,0.0000143226
12500,216.65,17864.8,0.287262,295.07,0.0000143226
12600,216.65,17585.4,0.282768,295.07,0.0000143226
12700,216.65,17310.2,0.278344,295.07,0.0000143226
12800,216.65,17039.4,0.273989,295.07,0.0000143226
12900,216.65,16772.8,0.269703,295.07,0.0000143226
13000,216.65,16510.4,0.265483,295.07,0.0000143226
13100,216.65,16252.1,0.26133,295.07,0.0000143226
13200,216.65,15997.8,0.257241,295.07,0.0000143226
13300,216.65,15747.5,0.253217,295.07,0.0000143226
13400,216.65,15501.2,0.249255,295.07,0.0000143226
13500,216.65,15258.7,0.245355,295.07,0.0000143226
13600,216.65,15019.9,0.241517,295.07,0.0000143226
13700,216.65,14784.9,0.237738,295.07,0.0000143226
13800,216.65,14553.6,0.234019,295.07,0.0000143226
13900,216.65,14325.9,0.230357,295.07,0.0000143226
14000,216.65,14101.8,0.226753,295.07,0.0000143226
14100,216.65,13881.2,0.223206,295.07,0.0000143226
14200,216.65,13664,0.219714,295.07,0.0000143226
14300,216.65,13450.2,0.216276,295.07,0.0000143226
14400,216.65,13239.8,0.212893,295.07,0.0000143226
14500,216.65,13032.7,0.209562,295.07,0.0000143226
14600,216.65,12828.8,0.206283,295.07,0.0000143226
14700,216.65,12628.1,0.203056,295.07,0.0000143226
14800,216.65,12430.5,0.199879,295.07,0.0000143226
14900,216.65,12236,0.196752,295.07,0.0000143226
15000,216.65,12044.6,0.193674,295.07,0.0000143226
15100,216.65,11856.1,0.190644,295.07,0.0000143226
15200,216.65,11670.6,0.187661,295.07,0.0000143226
15300,216.65,11488.1,0.184725,295.07,0.0000143226
15400,216.65,11308.3,0.181835,295.07,0.0000143226
15500,216.65,11131.4,0.17899,295.07,0.0000143226
15600,216.65,10957.2,0.17619,295.07,0.0000143226
15700,216.65,10785.8,0.173433,295.07,0.0000143226
15800,216.65,10617.1,0.17072,295.07,0.0000143226
15900,216.65,10451,0.168049,295.07,0.0000143226
16000,216.65,10287.5,0.16542,295.07,0.0000143226
16100,216.65,10126.5,0.162832,295.07,0.0000143226
16200,216.65,9968.08,0.160284,295.07,0.0000143226
16300,216.65,9812.13,0.157777,295.07,0.0000143226
16400,216.65,9658.61,0.155308,295.07,0.0000143226
16500,216.65,9507.5,0.152878,295.07,0.0000143226
16600,216.65,9358.76,0.150487,295.07,0.0000143226
16700,216.65,9212.34,0.148132,295.07,0.0000143226
16800,216.65,9068.21,0.145815,295.07,0.0000143226
16900,216.65,8926.34,0.143533,295.07,0.0000143226
17000,216.65,8786.68,0.141288,295.07,0.0000143226
17100,216.65,8649.21,0.139077,295.07,0.0000143226
17200,216.65,8513.89,0.136901,295.07,0.0000143226
17300,216.65,8380.69,0.134759,295.07,0.0000143226
17400,216.65,8249.58,0.132651,295.07,0.0000143226
17500,216.65,8120.51,0.130576,295.07,0.0000143226
17600,216.65,7993.46,0.128533,295.07,0.0000143226
17700,216.65,7868.4,0.126522,295.07,0.0000143226
17800,216.65,7745.3,0.124543,295.07,0.0000143226
17900,216.65,7624.13,0.122594,295.07,0.0000143226
18000,216.65,7504.84,0.120676,295.07,0.0000143226
18100,216.65,7387.43,0.118788,295.07,0.0000143226
18200,216.65,7271.85,0.11693,295.07,0.0000143226
18300,216.65,7158.08,0.1151,295.07,0.0000143226
18400,216.65,7046.09,0.113299,295.07,0.0000143226
18500,216.65,6935.86,0.111527,295.07,0.0000143226
18600,216.65,6827.34,0.109782,295.07,0.0000143226
18700,216.65,6720.53,0.108064,295.07,0.0000143226
18800,216.65,6615.39,0.106374,295.07,0.0000143226
18900,216.65,6511.89,0.10471,295.07,0.0000143226
19000,216.65,6410.01,0.103071,295.07,0.0000143226
19100,216.65,6309.72,0.101459,295.07,0.0000143226
19200,216.65,6211,0.0998714,295.07,0.0000143226
19300,216.65,6113.83,0.0983089,295.07,0.0000143226
19400,216.65,6018.18,0.0967709,295.07,0.0000143226
19500,216.65,5924.03,0.0952569,295.07,0.0000143226
19600,216.65,5831.34,0.0937666,295.07,0.0000143226
19700,216.65,5740.11,0.0922996,295.07,0.0000143226
19800,216.65,5650.31,0.0908555,295.07,0.0000143226
19900,216.65,5561.91,0.0894341,295.07,0.0000143226
20000,216.65,5474.89,0.0880349,295.07,0.0000143226
20100,216.75,5389.25,0.0866179,295.138,0.0000143283
20200,216.85,5304.99,0.0852243,295.206,0.000014334
20300,216.95,5222.09,0.0838538,295.274,0.0000143396
20400,217.05,5140.52,0.082506,295.342,0.0000143453
20500,217.15,5060.26,0.0811804,295.41,0.0000143509
20600,217.25,4981.29,0.0798768,295.478,0.0000143566
20700,217.35,4903.59,0.0785946,295.546,0.0000143622
20800,217.45,4827.14,0.0773336,295.614,0.0000143679
20900,217.55,4751.91,0.0760934,295.682,0.0000143736
21000,217.65,4677.89,0.0748737,295.75,0.0000143792
21100,217.75,4605.05,0.073674,295.818,0.0000143849
21200,217.85,4533.38,0.0724941,295.886,0.0000143905
21300,217.95,4462.86,0.0713336,295.954,0.0000143962
21400,218.05,4393.47,0.0701923,296.021,0.0000144018
21500,218.15,4325.18,0.0690697,296.089,0.0000144074
21600,218.25,4257.99,0.0679655,296.157,0.0000144131
21700,218.35,4191.87,0.0668795,296.225,0.0000144187
21800,218.45,4126.81,0.0658114,296.293,0.0000144244
21900,218.55,4062.79,0.0647607,296.361,0.00001443
22000,218.65,3999.79,0.0637273,296.428,0.0000144357
22100,218.75,3937.79,0.0627109,296.496,0.0000144413
22200,218.85,3876.79,0.0617111,296.564,0.0000144469
22300,218.95,3816.75,0.0607278,296.632,0.0000144526
22400,219.05,3757.68,0.0597605,296.699,0.0000144582
22500,219.15,3699.54,0.0588091,296.767,0.0000144639
22600,219.25,3642.33,0.0578732,296.835,0.0000144695
22700,219.35,3586.03,0.0569526,296.903,0.0000144751
22800,219.45,3530.62,0.0560471,296.97,0.0000144808
22900,219.55,3476.09,0.0551564,297.038,0.0000144864
23000,219.65,3422.43,0.0542803,297.105,0.000014492
23100,219.75,3369.63,0.0534184,297.173,0.0000144976
23200,219.85,3317.66,0.0525706,297.241,0.0000145033
23300,219.95,3266.51,0.0517367,297.308,0.0000145089
23400,220.05,3216.18,0.0509164,297.376,0.0000145145
23500,220.15,3166.65,0.0501094,297.443,0.0000145202
23600,220.25,3117.9,0.0493155,297.511,0.0000145258
23700,220.35,3069.92,0.0485346,297.579,0.0000145314
23800,220.45,3022.7,0.0477665,297.646,0.000014537
23900,220.55,2976.23,0.0470108,297.714,0.0000145426
24000,220.65,2930.49,0.0462674,297.781,0.0000145483
24100,220.75,2885.48,0.045536,297.849,0.0000145539
24200,220.85,2841.18,0.0448166,297.916,0.0000145595
24300,220.95,2797.58,0.0441089,297.983,0.0000145651
24400,221.05,2754.66,0.0434126,298.051,0.0000145707
24500,221.15,2712.42,0.0427276,298.118,0.0000145763
24600,221.25,2670.85,0.0420538,298.186,0.000014582
24700,221.35,2629.94,0.0413909,298.253,0.0000145876
24800,221.45,2589.67,0.0407387,298.32,0.0000145932
24900,221.55,2550.03,0.0400971,298.388,0.0000145988
25000,221.65,2511.02,0.0394658,298.455,0.0000146044
25100,221.75,2472.63,0.0388448,298.522,0.00001461
25200,221.85,2434.83,0.0382338,298.59,0.0000146156
25300,221.95,2397.63,0.0376327,298.657,0.0000146212
25400,222.05,2361.02,0.0370414,298.724,0.0000146268
25500,222.15,2324.98,0.0364595,298.791,0.0000146324
25600,222.25,2289.51,0.0358871,298.859,0.000014638
25700,222.35,2254.59,0.0353239,298.926,0.0000146436
25800,222.45,2220.22,0.0347698,298.993,0.0000146492
25900,222.55,2186.39,0.0342246,299.06,0.0000146548
26000,222.65,2153.09,0.0336882,299.128,0.0000146604
26100,222.75,2120.32,0.0331605,299.195,0.000014666
26200,222.85,2088.05,0.0326413,299.262,0.0000146716
26300,222.95,2056.29,0.0321304,299.329,0.0000146772
26400,223.05,2025.03,0.0316277,299.396,0.0000146828
26500,223.15,1994.26,0.0311331,299.463,0.0000146884
26600,223.25,1963.97,0.0306465,299.53,0.000014694
26700,223.35,1934.15,0.0301677,299.597,0.0000146996
26800,223.45,1904.8,0.0296966,299.664,0.0000147052
26900,223.55,1875.9,0.029233,299.732,0.0000147108
27000,223.65,1847.46,0.0287769,299.799,0.0000147164
27100,223.75,1819.46,0.0283281,299.866,0.000014722
27200,223.85,1791.89,0.0278865,299.933,0.0000147275
27300,223.95,1764.76,0.0274519,300,0.0000147331
27400,224.05,1738.05,0.0270244,300.067,0.0000147387
27500,224.15,1711.75,0.0266036,300.133,0.0000147443
27600,224.25,1685.87,0.0261896,300.2,0.0000147499
27700,224.35,1660.39,0.0257823,300.267,0.0000147555
27800,224.45,1635.3,0.0253814,300.334,0.000014761
27900,224.55,1610.6,0.024987,300.401,0.0000147666
28000,224.65,1586.29,0.0245988,300.468,0.0000147722
28100,224.75,1562.35,0.0242169,300.535,0.0000147778
28200,224.85,1538.79,0.023841,300.602,0.0000147833
28300,224.95,1515.59,0.0234712,300.669,0.0000147889
28400,225.05,1492.75,0.0231072,300.735,0.0000147945
28500,225.15,1470.27,0.022749,300.802,0.0000148001
28600,225.25,1448.13,0.0223966,300.869,0.0000148056
28700,225.35,1426.34,0.0220498,300.936,0.0000148112
28800,225.45,1404.89,0.0217084,301.003,0.0000148168
28900,225.55,1383.76,0.0213726,301.069,0.0000148223
29000,225.65,1362.96,0.021042,301.136,0.0000148279
29100,225.75,1342.49,0.0207167,301.203,0.0000148335
29200,225.85,1322.33,0.0203966,301.269,0.000014839
29300,225.95,1302.48,0.0200816,301.336,0.0000148446
29400,226.05,1282.94,0.0197716,301.403,0.0000148502
29500,226.15,1263.7,0.0194664,301.469,0.0000148557
29600,226.25,1244.76,0.0191662,301.536,0.0000148613
29700,226.35,1226.11,0.0188707,301.603,0.0000148669
29800,226.45,1207.75,0.0185798,301.669,0.0000148724
29900,226.55,1189.67,0.0182936,301.736,0.000014878
30000,226.65,1171.87,0.0180119,301.803,0.0000148835
30100,226.75,1154.34,0.0177347,301.869,0.0000148891
30200,226.85,1137.08,0.0174619,301.936,0.0000148946
30300,226.95,1120.09,0.0171934,302.002,0.0000149002
30400,227.05,1103.36,0.0169291,302.069,0.0000149058
30500,227.15,1086.88,0.016669,302.135,0.0000149113
30600,227.25,1070.66,0.016413,302.202,0.0000149169
30700,227.35,1054.69,0.016161,302.268,0.0000149224
30800,227.45,1038.97,0.015913,302.335,0.000014928
30900,227.55,1023.48,0.015669,302.401,0.0000149335
31000,227.65,1008.23,0.0154288,302.468,0.000014939
31100,227.75,993.218,0.0151923,302.534,0.0000149446
31200,227.85,978.434,0.0149596,302.6,0.0000149501
31300,227.95,963.876,0.0147306,302.667,0.0000149557
31400,228.05,949.541,0.0145051,302.733,0.0000149612
31500,228.15,935.425,0.0142832,302.8,0.0000149668
31600,228.25,921.526,0.0140648,302.866,0.0000149723
31700,228.35,907.838,0.0138499,302.932,0.0000149778
31800,228.45,894.36,0.0136383,302.999,0.0000149834
31900,228.55,881.088,0.01343,303.065,0.0000149889
32000,228.65,868.019,0.013225,303.131,0.0000149945
32100,228.93,855.154,0.0130131,303.317,0.00001501
32200,229.21,842.495,0.0128048,303.502,0.0000150254
32300,229.49,830.038,0.0126001,303.688,0.0000150409
32400,229.77,817.781,0.0123989,303.873,0.0000150564
32500,230.05,805.719,0.0122011,304.058,0.0000150719
32600,230.33,793.849,0.0120068,304.243,0.0000150873
32700,230.61,782.168,0.0118157,304.428,0.0000151028
32800,230.89,770.674,0.011628,304.612,0.0000151182
32900,231.17,759.361,0.0114434,304.797,0.0000151336
33000,231.45,748.228,0.011262,304.982,0.0000151491
33100,231.73,737.272,0.0110837,305.166,0.0000151645
33200,232.01,726.489,0.0109084,305.35,0.0000151799
33300,232.29,715.876,0.0107361,305.535,0.0000151953
33400,232.57,705.431,0.0105667,305.719,0.0000152107
33500,232.85,695.15,0.0104002,305.903,0.0000152261
33600,233.13,685.032,0.0102365,306.086,0.0000152414
33700,233.41,675.072,0.0100756,306.27,0.0000152568
33800,233.69,665.269,0.00991734,306.454,0.0000152722
33900,233.97,655.62,0.00976181,306.637,0.0000152875
34000,234.25,646.122,0.00960889,306.821,0.0000153029
34100,234.53,636.773,0.00945855,307.004,0.0000153182
34200,234.81,627.57,0.00931073,307.187,0.0000153335
34300,235.09,618.511,0.0091654,307.37,0.0000153489
34400,235.37,609.593,0.0090225,307.553,0.0000153642
34500,235.65,600.814,0.008882,307.736,0.0000153795
34600,235.93,592.172,0.00874385,307.919,0.0000153948
34700,236.21,583.664,0.008608,308.102,0.0000154101
34800,236.49,575.288,0.00847443,308.284,0.0000154254
34900,236.77,567.042,0.00834308,308.467,0.0000154406
35000,237.05,558.924,0.00821392,308.649,0.0000154559
35100,237.33,550.931,0.00808691,308.831,0.0000154712
35200,237.61,543.062,0.00796201,309.013,0.0000154864
35300,237.89,535.314,0.00783918,309.195,0.0000155017
35400,238.17,527.686,0.00771839,309.377,0.0000155169
35500,238.45,520.175,0.00759959,309.559,0.0000155321
35600,238.73,512.78,0.00748277,309.741,0.0000155474
35700,239.01,505.498,0.00736787,309.922,0.0000155626
35800,239.29,498.329,0.00725486,310.104,0.0000155778
35900,239.57,491.269,0.00714372,310.285,0.000015593
36000,239.85,484.317,0.00703441,310.467,0.0000156082
36100,240.13,477.471,0.0069269,310.648,0.0000156233
36200,240.41,470.73,0.00682115,310.829,0.0000156385
36300,240.69,464.092,0.00671714,311.01,0.0000156537
36400,240.97,457.555,0.00661483,311.191,0.0000156688
36500,241.25,451.118,0.00651419,311.371,0.000015684
36600,241.53,444.778,0.0064152,311.552,0.0000156991
36700,241.81,438.535,0.00631783,311.733,0.0000157143
36800,242.09,432.386,0.00622205,311.913,0.0000157294
36900,242.37,426.331,0.00612782,312.093,0.0000157445
37000,242.65,420.367,0.00603513,312.274,0.0000157596
37100,242.93,414.494,0.00594394,312.454,0.0000157748
37200,243.21,408.709,0.00585424,312.634,0.0000157898
37300,243.49,403.011,0.00576599,312.814,0.0000158049
37400,243.77,397.399,0.00567917,312.993,0.00001582
37500,244.05,391.872,0.00559375,313.173,0.0000158351
37600,244.33,386.427,0.00550972,313.353,0.0000158502
37700,244.61,381.065,0.00542704,313.532,0.0000158652
37800,244.89,375.783,0.00534569,313.712,0.0000158803
37900,245.17,370.58,0.00526566,313.891,0.0000158953
38000,245.45,365.455,0.00518691,314.07,0.0000159104
38100,245.73,360.406,0.00510943,314.249,0.0000159254
38200,246.01,355.433,0.00503319,314.428,0.0000159404
38300,246.29,350.534,0.00495817,314.607,0.0000159554
38400,246.57,345.708,0.00488436,314.786,0.0000159704
38500,246.85,340.954,0.00481172,314.965,0.0000159854
38600,247.13,336.27,0.00474025,315.143,0.0000160004
38700,247.41,331.656,0.00466992,315.322,0.0000160154
38800,247.69,327.111,0.00460071,315.5,0.0000160304
38900,247.97,322.632,0.0045326,315.678,0.0000160454
39000,248.25,318.22,0.00446557,315.856,0.0000160603
39100,248.53,313.874,0.00439961,316.034,0.0000160753
39200,248.81,309.591,0.0043347,316.212,0.0000160902
39300,249.09,305.372,0.00427081,316.39,0.0000161052
39400,249.37,301.214,0.00420794,316.568,0.0000161201
39500,249.65,297.118,0.00414606,316.746,0.000016135
39600,249.93,293.082,0.00408516,316.923,0.00001615
39700,250.21,289.105,0.00402522,317.101,0.0000161649
39800,250.49,285.187,0.00396623,317.278,0.0000161798
39900,250.77,281.326,0.00390816,317.455,0.0000161947
40000,251.05,277.522,0.00385101,317.633,0.0000162096
40100,251.33,273.773,0.00379476,317.81,0.0000162245
40200,251.61,270.079,0.00373939,317.987,0.0000162393
40300,251.89,266.438,0.00368488,318.164,0.0000162542
40400,252.17,262.851,0.00363123,318.34,0.0000162691
40500,252.45,259.316,0.00357842,318.517,0.0000162839
40600,252.73,255.832,0.00352644,318.694,0.0000162988
40700,253.01,252.399,0.00347527,318.87,0.0000163136
40800,253.29,249.016,0.00342489,319.047,0.0000163284
40900,253.57,245.682,0.0033753,319.223,0.0000163433
41000,253.85,242.395,0.00332648,319.399,0.0000163581
41100,254.13,239.157,0.00327842,319.575,0.0000163729
41200,254.41,235.965,0.00323111,319.751,0.0000163877
41300,254.69,232.819,0.00318453,319.927,0.0000164025
41400,254.97,229.719,0.00313867,320.103,0.0000164173
41500,255.25,226.663,0.00309352,320.279,0.000016432
41600,255.53,223.651,0.00304907,320.454,0.0000164468
41700,255.81,220.683,0.00300531,320.63,0.0000164616
41800,256.09,217.757,0.00296222,320.805,0.0000164763
41900,256.37,214.873,0.00291979,320.981,0.0000164911
42000,256.65,212.03,0.00287802,321.156,0.0000165058
42100,256.93,209.228,0.00283689,321.331,0.0000165206
42200,257.21,206.466,0.00279639,321.506,0.0000165353
42300,257.49,203.743,0.00275651,321.681,0.00001655
42400,257.77,201.059,0.00271725,321.856,0.0000165647
42500,258.05,198.413,0.00267858,322.03,0.0000165795
42600,258.33,195.805,0.00264051,322.205,0.0000165942
42700,258.61,193.234,0.00260302,322.38,0.0000166088
42800,258.89,190.7,0.00256609,322.554,0.0000166235
42900,259.17,188.201,0.00252974,322.729,0.0000166382
43000,259.45,185.738,0.00249393,322.903,0.0000166529
43100,259.73,183.309,0.00245867,323.077,0.0000166676
43200,260.01,180.915,0.00242395,323.251,0.0000166822
43300,260.29,178.555,0.00238975,323.425,0.0000166969
43400,260.57,176.228,0.00235607,323.599,0.0000167115
43500,260.85,173.934,0.00232291,323.773,0.0000167261
43600,261.13,171.672,0.00229024,323.947,0.0000167408
43700,261.41,169.442,0.00225807,324.12,0.0000167554
43800,261.69,167.243,0.00222638,324.294,0.00001677
43900,261.97,165.075,0.00219517,324.467,0.0000167846
44000,262.25,162.937,0.00216443,324.641,0.0000167992
44100,262.53,160.83,0.00213415,324.814,0.0000168138
44200,262.81,158.751,0.00210433,324.987,0.0000168284
44300,263.09,156.702,0.00207496,325.16,0.000016843
44400,263.37,154.682,0.00204602,325.333,0.0000168576
44500,263.65,152.689,0.00201752,325.506,0.0000168721
44600,263.93,150.724,0.00198945,325.679,0.0000168867
44700,264.21,148.787,0.0019618,325.851,0.0000169013
44800,264.49,146.877,0.00193456,326.024,0.0000169158
44900,264.77,144.993,0.00190772,326.197,0.0000169303
45000,265.05,143.135,0.00188129,326.369,0.0000169449
45100,265.33,141.303,0.00185525,326.541,0.0000169594
45200,265.61,139.496,0.0018296,326.714,0.0000169739
45300,265.89,137.714,0.00180432,326.886,0.0000169884
45400,266.17,135.957,0.00177943,327.058,0.0000170029
45500,266.45,134.224,0.0017549,327.23,0.0000170174
45600,266.73,132.515,0.00173074,327.402,0.0000170319
45700,267.01,130.829,0.00170693,327.574,0.0000170464
45800,267.29,129.167,0.00168348,327.745,0.0000170609
45900,267.57,127.527,0.00166037,327.917,0.0000170754
46000,267.85,125.91,0.0016376,328.088,0.0000170898
46100,268.13,124.315,0.00161517,328.26,0.0000171043
46200,268.41,122.742,0.00159307,328.431,0.0000171187
46300,268.69,121.191,0.00157129,328.602,0.0000171332
46400,268.97,119.66,0.00154983,328.774,0.0000171476
46500,269.25,118.151,0.00152869,328.945,0.000017162
46600,269.53,116.662,0.00150786,329.116,0.0000171764
46700,269.81,115.193,0.00148733,329.287,0.0000171909
46800,270.09,113.745,0.0014671,329.457,0.0000172053
46900,270.37,112.316,0.00144717,329.628,0.0000172197
47000,270.65,110.906,0.00142753,329.799,0.0000172341
47100,270.65,109.515,0.00140963,329.799,0.0000172341
47200,270.65,108.141,0.00139195,329.799,0.0000172341
47300,270.65,106.785,0.00137449,329.799,0.0000172341
47400,270.65,105.446,0.00135725,329.799,0.0000172341
47500,270.65,104.123,0.00134022,329.799,0.0000172341
47600,270.65,102.817,0.00132341,329.799,0.0000172341
47700,270.65,101.527,0.00130681,329.799,0.0000172341
47800,270.65,100.254,0.00129042,329.799,0.0000172341
47900,270.65,98.9962,0.00127423,329.799,0.0000172341
48000,270.65,97.7545,0.00125825,329.799,0.0000172341
48100,270.65,96.5283,0.00124247,329.799,0.0000172341
48200,270.65,95.3176,0.00122688,329.799,0.0000172341
48300,270.65,94.122,0.00121149,329.799,0.0000172341
48400,270.65,92.9414,0.0011963,329.799,0.0000172341
48500,270.65,91.7756,0.00118129,329.799,0.0000172341
48600,270.65,90.6244,0.00116647,329.799,0.0000172341
48700,270.65,89.4877,0.00115184,329.799,0.0000172341
48800,270.65,88.3652,0.00113739,329.799,0.0000172341
48900,270.65,87.2568,0.00112313,329.799,0.0000172341
49000,270.65,86.1623,0.00110904,329.799,0.0000172341
49100,270.65,85.0815,0.00109513,329.799,0.0000172341
49200,270.65,84.0143,0.00108139,329.799,0.0000172341
49300,270.65,82.9605,0.00106783,329.799,0.0000172341
